YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,UnknownDose,Region,TargetGroup,Vaccine,Population
2020-W53,AT,7388778,61425,0,5344,,0,0,0,0,0,AT,ALL,COM,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,COMBA.4-5,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,VLA,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,MODBA.1,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,AZ,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,SGSK,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,8,AT,ALL,UNK,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,NVXD,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,MOD,8901064
2020-W53,AT,7388778,0,0,2,,0,0,0,0,0,AT,ALL,COMBA.1,8901064
2020-W53,AT,7388778,0,0,0,,0,0,0,0,0,AT,ALL,JANSS,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,NVXD,8901064
2020-W53,AT,433755,0,0,1,,0,0,0,0,0,AT,Age0_4,COM,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,VLA,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,SGSK,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,MOD,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,COMBA.4-5,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,COMBA.1,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,JANSS,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,MODBA.1,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,UNK,8901064
2020-W53,AT,433755,0,0,0,,0,0,0,0,0,AT,Age0_4,AZ,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,AZ,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,COM,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,UNK,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,MODBA.1,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,NVXD,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,VLA,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,SGSK,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,COMBA.1,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,JANSS,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,COMBA.4-5,8901064
2020-W53,AT,423433,0,0,0,,0,0,0,0,0,AT,Age10_14,MOD,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,COMBA.1,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,AZ,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,MOD,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,COMBA.4-5,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,NVXD,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,VLA,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,UNK,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,SGSK,8901064
2020-W53,AT,258398,0,0,5,,0,0,0,0,0,AT,Age15_17,COM,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,MODBA.1,8901064
2020-W53,AT,258398,0,0,0,,0,0,0,0,0,AT,Age15_17,JANSS,8901064
2020-W53,AT,683584,0,0,0,,0,0,0,0,0,AT,Age18_24,COMBA.4-5,8901064
